date,customerId,paymentPeriod,loanAmount,currencyType,evaluationChannel,interest_rate
12/09/2022,CUS17342288348,48,59000,USD,WEB PAGE,0.4
12/09/2022,CUS14000642812,12,5000,USD,WEB PAGE,0.33
12/09/2022,CUS82788974248,48,40000,USD,AGENCY,0.4
12/09/2022,CUS91581188248,48,19000,USD,WEB PAGE,0.189
12/09/2022,CUS84361242948,48,22000,USD,WEB PAGE,0.255
12/09/2022,CUS80340573936,36,65000,USD,AGENCY,0.345
12/09/2022,CUS49439187936,36,51000,USD,WEB PAGE,0.105
12/09/2022,CUS84732506848,48,45000,USD,AGENCY,0.159
12/09/2022,CUS64108682636,36,19000,USD,WEB PAGE,0.22
12/09/2022,CUS23337200536,36,38000,USD,WEB PAGE,0.255
12/09/2022,CUS95851912048,48,10000,USD,WEB PAGE,0.255
12/09/2022,CUS77853612236,36,41000,USD,WEB PAGE,0.245
12/09/2022,CUS11358086660,60,41000,USD,WEB PAGE,0.35
12/09/2022,CUS82393702448,48,30000,USD,AGENCY,0.39
12/09/2022,CUS88942610136,36,27315,USD,WEB PAGE,0.189
12/09/2022,CUS25211724848,48,17030,USD,WEB PAGE,0.26
12/09/2022,CUS72078158436,36,30000,USD,WEB PAGE,0.105
12/09/2022,CUS14846642036,36,74911,USD,AGENCY,0.169
12/09/2022,CUS87653012936,36,110000,USD,AGENCY,0.119
12/09/2022,CUS28567429912,12,3000,USD,WEB PAGE,0.105
12/09/2022,CUS11821450036,36,36300,USD,WEB PAGE,0.245
12/09/2022,CUS65468511648,48,20700,USD,WEB PAGE,0.23
12/09/2022,CUS53001246924,24,28840,USD,WEB PAGE,0.169
12/09/2022,CUS88128330436,36,26594,USD,WEB PAGE,0.22
12/09/2022,CUS28324937460,60,45005,USD,WEB PAGE,0.195
12/09/2022,CUS16634211736,36,23000,USD,WEB PAGE,0.39
12/09/2022,CUS34165290736,36,7710,USD,WEB PAGE,0.225
12/09/2022,CUS75875917024,24,2000,USD,WEB PAGE,0.275
12/09/2022,CUS97883516724,24,2000,USD,WEB PAGE,0.25
12/09/2022,CUS35803348512,12,10000,USD,WEB PAGE,0.255
12/09/2022,CUS69900757360,60,70300,USD,WEB PAGE,0.135
12/09/2022,CUS77227740936,36,68600,USD,WEB PAGE,0.35
12/09/2022,CUS53089934736,36,45000,USD,AGENCY,0.159
12/09/2022,CUS15774322760,60,19505,USD,WEB PAGE,0.35
12/09/2022,CUS63259289348,48,32458,USD,WEB PAGE,0.169
12/09/2022,CUS52052043648,48,25850,USD,WEB PAGE,0.395
12/09/2022,CUS95376665524,24,29900,USD,WEB PAGE,0.165
12/09/2022,CUS48758008924,24,13000,USD,WEB PAGE,0.105
12/09/2022,CUS13856602524,24,118000,USD,WEB PAGE,0.225
12/09/2022,CUS39072409136,36,50000,USD,AGENCY,0.159
12/09/2022,CUS64119715748,48,60000,USD,WEB PAGE,0.115
12/09/2022,CUS22040662936,36,11900,USD,AGENCY,0.185
12/09/2022,CUS55092285036,36,100000,USD,AGENCY,0.23
12/09/2022,CUS59737013748,48,100000,USD,WEB PAGE,0.225
12/09/2022,CUS22927022948,48,22500,USD,WEB PAGE,0.175
12/09/2022,CUS77808786048,48,30000,USD,AGENCY,0.169
12/09/2022,CUS56301274348,48,17700,USD,WEB PAGE,0.169
12/09/2022,CUS25497256860,60,40000,USD,WEB PAGE,0.25
12/09/2022,CUS36472008160,60,35000,USD,AGENCY,0.225
12/09/2022,CUS44953480124,24,20068.01,USD,AGENCY,0.395
12/09/2022,CUS27236786624,24,20068.01,USD,AGENCY,0.395
12/09/2022,CUS73650412848,48,38000,USD,WEB PAGE,0.189
12/09/2022,CUS91435161960,60,60000,USD,WEB PAGE,0.205
12/09/2022,CUS66865743848,48,88000,USD,WEB PAGE,0.109
12/09/2022,CUS53446410448,48,42000,USD,WEB PAGE,0.35
12/09/2022,CUS19738463848,48,28000,USD,AGENCY,0.139
12/09/2022,CUS13504482336,36,68800,USD,WEB PAGE,0.125
12/09/2022,CUS90429043548,48,60000,USD,WEB PAGE,0.165
12/09/2022,CUS78871828124,24,5000,USD,WEB PAGE,0.38
12/09/2022,CUS94959577148,48,78000,USD,WEB PAGE,0.159
12/09/2022,CUS18644056936,36,20000,USD,WEB PAGE,0.24
12/09/2022,CUS34781920948,48,55000,USD,WEB PAGE,0.22
12/09/2022,CUS21978201224,24,22500,USD,WEB PAGE,0.195
12/09/2022,CUS58899220724,24,2930,USD,WEB PAGE,0.185
12/09/2022,CUS76088498912,12,2000,USD,WEB PAGE,0.33
12/09/2022,CUS21174243948,48,24000,USD,WEB PAGE,0.159
12/09/2022,CUS78209753224,24,15900,USD,AGENCY,0.33
12/09/2022,CUS14437145260,60,33720,USD,WEB PAGE,0.165
12/09/2022,CUS11240038260,60,90000,USD,AGENCY,0.105
12/09/2022,CUS45607648948,48,73000,USD,AGENCY,0.39
12/09/2022,CUS37102449424,24,42300,USD,WEB PAGE,0.225
12/09/2022,CUS38182580760,60,36000,USD,AGENCY,0.135
12/09/2022,CUS95747566436,36,8591,USD,WEB PAGE,0.39
12/09/2022,CUS17199404348,48,20000,USD,WEB PAGE,0.169
12/09/2022,CUS15067862860,60,20650,USD,WEB PAGE,0.165
12/09/2022,CUS56346170612,12,24705,USD,WEB PAGE,0.24
12/09/2022,CUS57386832736,36,15000,USD,WEB PAGE,0.269
12/09/2022,CUS75900216836,36,5643,USD,WEB PAGE,0.33
12/09/2022,CUS95413777612,12,10000,USD,WEB PAGE,0.35
12/09/2022,CUS32390107536,36,35000,USD,WEB PAGE,0.23
12/09/2022,CUS21035923248,48,50000,USD,AGENCY,0.165
12/09/2022,CUS23126794536,36,29900,USD,WEB PAGE,0.255
12/09/2022,CUS99248635724,24,5000,USD,WEB PAGE,0.175
12/09/2022,CUS93214832312,12,8000,USD,WEB PAGE,0.25
12/09/2022,CUS24257528160,60,70000,USD,WEB PAGE,0.145
12/09/2022,CUS74438653824,24,40000,USD,AGENCY,0.37
12/09/2022,CUS26620470048,48,73600,USD,WEB PAGE,0.135
12/09/2022,CUS33385998536,36,41000,USD,AGENCY,0.24
12/09/2022,CUS60488479724,24,6500,USD,WEB PAGE,0.225
12/09/2022,CUS56073487860,60,65700,USD,WEB PAGE,0.175
12/09/2022,CUS69619939760,60,32029.28,USD,WEB PAGE,0.14
12/09/2022,CUS48751196160,60,15000,USD,AGENCY,0.35
12/09/2022,CUS63637044536,36,31000,USD,WEB PAGE,0.159
12/09/2022,CUS16446877748,48,8000,USD,WEB PAGE,0.25
12/09/2022,CUS11286070060,60,35300,USD,WEB PAGE,0.225
12/09/2022,CUS23683879860,60,40000,USD,WEB PAGE,0.24
12/09/2022,CUS78824017460,60,8900,USD,WEB PAGE,0.235
12/09/2022,CUS73354944760,60,27000,USD,WEB PAGE,0.175
12/09/2022,CUS17256370260,60,96400,USD,WEB PAGE,0.37
12/09/2022,CUS67721078436,36,14800,USD,WEB PAGE,0.22
12/09/2022,CUS40827853760,60,67000,USD,WEB PAGE,0.155
12/09/2022,CUS78470779424,24,40700,USD,AGENCY,0.169
12/09/2022,CUS49326396460,60,44000,USD,AGENCY,0.23
12/09/2022,CUS90006109836,36,3800,USD,WEB PAGE,0.255
12/09/2022,CUS34618496736,36,5500,USD,WEB PAGE,0.165
12/09/2022,CUS85332491036,36,15000,USD,WEB PAGE,0.245
12/09/2022,CUS60856746612,12,5000,USD,WEB PAGE,0.33
12/09/2022,CUS15289097648,48,80000,USD,AGENCY,0.205
12/09/2022,CUS98859808648,48,60000,USD,AGENCY,0.169
12/09/2022,CUS91047461436,36,15000,USD,WEB PAGE,0.155
12/09/2022,CUS31222721348,48,55000,USD,AGENCY,0.14
12/09/2022,CUS23033824448,48,36600,USD,WEB PAGE,0.195
12/09/2022,CUS94287264360,60,47000,USD,WEB PAGE,0.135
12/09/2022,CUS67052220260,60,68000,USD,WEB PAGE,0.145
12/09/2022,CUS22512327936,36,20600,USD,WEB PAGE,0.255
12/09/2022,CUS74863280424,24,21100,USD,WEB PAGE,0.235
12/09/2022,CUS43860202660,60,140000,USD,AGENCY,0.14
12/09/2022,CUS99305190236,36,102000,USD,AGENCY,0.355
12/09/2022,CUS73338721648,48,49000,USD,WEB PAGE,0.169
12/09/2022,CUS30098175960,60,49000,USD,WEB PAGE,0.205
12/09/2022,CUS85725213836,36,16000,USD,WEB PAGE,0.195
12/09/2022,CUS59899203760,60,25000,USD,WEB PAGE,0.235
12/09/2022,CUS82458774260,60,40000,USD,WEB PAGE,0.185
12/09/2022,CUS16713037024,24,48900,USD,AGENCY,0.245
12/09/2022,CUS47463360336,36,30000,USD,WEB PAGE,0.195
12/09/2022,CUS97621773036,36,5000,USD,WEB PAGE,0.345
12/09/2022,CUS17563978724,24,40000,USD,AGENCY,0.135
12/09/2022,CUS17668313160,60,70000,USD,AGENCY,0.19
12/09/2022,CUS87490810736,36,16800,USD,WEB PAGE,0.395
12/09/2022,CUS46443158712,12,3000,USD,WEB PAGE,0.32
12/09/2022,CUS34970662224,24,61300,USD,WEB PAGE,0.21
12/09/2022,CUS98365315448,48,78687.86,USD,AGENCY,0.139
12/09/2022,CUS56123832436,36,11167,USD,WEB PAGE,0.149
12/09/2022,CUS78640562348,48,67000,USD,AGENCY,0.205
12/09/2022,CUS94204693048,48,67000,USD,AGENCY,0.205
12/09/2022,CUS62469848660,60,23265,USD,WEB PAGE,0.205
12/09/2022,CUS31795414036,36,6600,USD,WEB PAGE,0.395
12/09/2022,CUS91702573960,60,104000,USD,WEB PAGE,0.105
12/09/2022,CUS24459869436,36,42000,USD,AGENCY,0.24
12/09/2022,CUS34963870624,24,11000,USD,WEB PAGE,0.139
12/09/2022,CUS99161454960,60,30820,USD,WEB PAGE,0.205
12/09/2022,CUS41529811624,24,95000,USD,WEB PAGE,0.135
12/09/2022,CUS67066401848,48,24000,USD,WEB PAGE,0.195
12/09/2022,CUS27883654848,48,80000,USD,WEB PAGE,0.195
12/09/2022,CUS83466494660,60,120000,USD,WEB PAGE,0.105
12/09/2022,CUS94917810460,60,11000,USD,WEB PAGE,0.235
12/09/2022,CUS69409384560,60,30000,USD,AGENCY,0.155
12/09/2022,CUS42126092024,24,11700,USD,WEB PAGE,0.3
12/09/2022,CUS82605280124,24,10000,USD,WEB PAGE,0.32
12/09/2022,CUS43202515924,24,20600,USD,WEB PAGE,0.149
12/09/2022,CUS85420517848,48,41800,USD,WEB PAGE,0.175
12/09/2022,CUS59014952460,60,38400,USD,AGENCY,0.205
12/09/2022,CUS90213010260,60,38000,USD,WEB PAGE,0.205
12/09/2022,CUS17889110360,60,77900,USD,WEB PAGE,0.185
12/09/2022,CUS71542059048,48,10000,USD,WEB PAGE,0.265
12/09/2022,CUS47868007212,12,7000,USD,WEB PAGE,0.345
12/09/2022,CUS64715687024,24,25743.53,USD,AGENCY,0.39
12/09/2022,CUS32096616624,24,30000,USD,WEB PAGE,0.275
12/09/2022,CUS83645878124,24,40000,USD,WEB PAGE,0.149
12/09/2022,CUS47387530148,48,68000,USD,WEB PAGE,0.169
12/09/2022,CUS25344497224,24,6000,USD,AGENCY,0.255
12/09/2022,CUS69076772024,24,115000,USD,AGENCY,0.375
12/09/2022,CUS64710050436,36,30000,USD,WEB PAGE,0.235
12/09/2022,CUS44644912748,48,54782.76,USD,WEB PAGE,0.2
12/09/2022,CUS81206959624,24,5560,USD,WEB PAGE,0.165
12/09/2022,CUS15466243112,12,6000,USD,WEB PAGE,0.199
12/09/2022,CUS59225172760,60,34900,USD,WEB PAGE,0.145
12/09/2022,CUS12025697560,60,27700,USD,WEB PAGE,0.105
12/09/2022,CUS12254472448,48,23800,USD,AGENCY,0.205
12/09/2022,CUS57431418424,24,25000,USD,WEB PAGE,0.195
12/09/2022,CUS87867613360,60,52800,USD,WEB PAGE,0.195
12/09/2022,CUS41277240124,24,6000,USD,WEB PAGE,0.17
12/09/2022,CUS44899883524,24,20000,USD,WEB PAGE,0.12
12/09/2022,CUS34783414024,24,5000,USD,WEB PAGE,0.155
12/09/2022,CUS31024332960,60,42000,USD,WEB PAGE,0.185
12/09/2022,CUS91631647648,48,13850,USD,WEB PAGE,0.135
12/09/2022,CUS83639402036,36,16000,USD,WEB PAGE,0.145
12/09/2022,CUS87057242736,36,50000,USD,WEB PAGE,0.175
12/09/2022,CUS68899488912,12,3300,USD,WEB PAGE,0.25
12/09/2022,CUS14522204860,60,13000,USD,WEB PAGE,0.219
12/09/2022,CUS93066950660,60,40000,USD,CONTACT CENTER,0.149
12/09/2022,CUS37831811660,60,31000,USD,WEB PAGE,0.155
12/09/2022,CUS87832717160,60,70000,USD,WEB PAGE,0.105
12/09/2022,CUS68142687660,60,18200,USD,WEB PAGE,0.19
12/09/2022,CUS41612554460,60,57000,USD,WEB PAGE,0.105
12/09/2022,CUS73254840160,60,113000,USD,WEB PAGE,0.119
12/09/2022,CUS62655699960,60,22366,USD,WEB PAGE,0.155
12/09/2022,CUS57053428048,48,70400,USD,WEB PAGE,0.159
12/09/2022,CUS11469556160,60,57304,USD,WEB PAGE,0.139
12/09/2022,CUS12498409812,12,4365,USD,WEB PAGE,0.175
12/09/2022,CUS31704902824,24,6000,USD,WEB PAGE,0.24
12/09/2022,CUS91272552960,60,18600,USD,AGENCY,0.24
12/09/2022,CUS97457939936,36,37900,USD,WEB PAGE,0.235
12/09/2022,CUS18886706336,36,10000,USD,WEB PAGE,0.27
12/09/2022,CUS90876657912,12,3000,USD,WEB PAGE,0.125
12/09/2022,CUS94148031948,48,13900,USD,WEB PAGE,0.165
12/09/2022,CUS32231543360,60,15000,USD,WEB PAGE,0.185
12/09/2022,CUS62053853760,60,21000,USD,WEB PAGE,0.185
12/09/2022,CUS67730654760,60,42000,USD,WEB PAGE,0.225
12/09/2022,CUS69089267460,60,6000,USD,WEB PAGE,0.225
12/09/2022,CUS17011231936,36,11440,USD,WEB PAGE,0.285
12/09/2022,CUS37643577760,60,96800,USD,WEB PAGE,0.169
12/09/2022,CUS49568374748,48,65150,USD,WEB PAGE,0.195
12/09/2022,CUS22383941048,48,25000,USD,AGENCY,0.129
12/09/2022,CUS65176406412,12,6000,USD,WEB PAGE,0.155
12/09/2022,CUS44387139160,60,45000,USD,WEB PAGE,0.18
12/09/2022,CUS32495416724,24,15000,USD,WEB PAGE,0.165
12/09/2022,CUS98695052060,60,25000,USD,WEB PAGE,0.105
12/09/2022,CUS96035916224,24,75000,USD,AGENCY,0.36
12/09/2022,CUS98879681336,36,16600,USD,WEB PAGE,0.105
12/09/2022,CUS54771858948,48,11100,USD,WEB PAGE,0.23
12/09/2022,CUS37850583324,24,20000,USD,WEB PAGE,0.17
12/09/2022,CUS14921076860,60,47300,USD,WEB PAGE,0.235
12/09/2022,CUS98063431236,36,12702.66,USD,WEB PAGE,0.36
12/09/2022,CUS55867341348,48,24000,USD,WEB PAGE,0.305
12/09/2022,CUS34214748548,48,24000,USD,WEB PAGE,0.195
12/09/2022,CUS16311122960,60,40000,USD,WEB PAGE,0.165
12/09/2022,CUS43854435148,48,9400,USD,CONTACT CENTER,0.25
12/09/2022,CUS18782440560,60,75000,USD,WEB PAGE,0.175
12/09/2022,CUS28622719860,60,44100,USD,WEB PAGE,0.15
12/09/2022,CUS53160594248,48,18000,USD,WEB PAGE,0.145
12/09/2022,CUS62561075624,24,6000,USD,WEB PAGE,0.395
12/09/2022,CUS43069970736,36,60000,USD,AGENCY,0.165
12/09/2022,CUS68012205648,48,14700,USD,WEB PAGE,0.215
12/09/2022,CUS38498738848,48,29800,USD,AGENCY,0.24
12/09/2022,CUS75848177660,60,41188,USD,WEB PAGE,0.18
12/09/2022,CUS24827779260,60,36700,USD,WEB PAGE,0.135
12/09/2022,CUS67413463136,36,42000,USD,AGENCY,0.145
12/09/2022,CUS93819351336,36,53000,USD,WEB PAGE,0.155
12/09/2022,CUS17704667624,24,30000,USD,AGENCY,0.255
12/09/2022,CUS15805761336,36,57500,USD,AGENCY,0.18
12/09/2022,CUS29300390424,24,70000,USD,AGENCY,0.175
12/09/2022,CUS81759364624,24,37700,USD,WEB PAGE,0.365
12/09/2022,CUS41216303336,36,20000,USD,WEB PAGE,0.149
12/09/2022,CUS92545293248,48,86900,USD,AGENCY,0.195
12/09/2022,CUS12005486212,12,15000,USD,WEB PAGE,0.145
12/09/2022,CUS63298706224,24,1000,USD,WEB PAGE,0.22
12/09/2022,CUS12314183448,48,29700,USD,WEB PAGE,0.225
12/09/2022,CUS79151799548,48,10000,USD,WEB PAGE,0.155
12/09/2022,CUS90019466360,60,118400,USD,AGENCY,0.105
12/09/2022,CUS43714707160,60,20000,USD,WEB PAGE,0.235
12/09/2022,CUS20244947736,36,21530,USD,WEB PAGE,0.155
12/09/2022,CUS83834923224,24,5000,USD,AGENCY,0.18
12/09/2022,CUS87171691960,60,12000,USD,WEB PAGE,0.205
12/09/2022,CUS53425249824,24,20000,USD,WEB PAGE,0.105
12/09/2022,CUS91627733960,60,41796.28,USD,WEB PAGE,0.12
12/09/2022,CUS57188552460,60,35600,USD,WEB PAGE,0.35
12/09/2022,CUS64054141524,24,10000,USD,WEB PAGE,0.395
12/09/2022,CUS29576185724,24,3000,USD,WEB PAGE,0.285
12/09/2022,CUS53408371548,48,40000,USD,WEB PAGE,0.145
12/09/2022,CUS53066356460,60,15155.78,USD,WEB PAGE,0.119
12/09/2022,CUS93418882236,36,41100,USD,WEB PAGE,0.395
12/09/2022,CUS98050883248,48,80000,USD,AGENCY,0.395
12/09/2022,CUS13378471748,48,18000,USD,WEB PAGE,0.25
12/09/2022,CUS67953962948,48,35000,USD,WEB PAGE,0.165
12/09/2022,CUS35020711360,60,140000,USD,AGENCY,0.22
12/09/2022,CUS33514389024,24,65000,USD,AGENCY,0.12
12/09/2022,CUS25611554960,60,35996,USD,WEB PAGE,0.19
12/09/2022,CUS55945774136,36,4500,USD,WEB PAGE,0.28
12/09/2022,CUS20144527736,36,18000,EUR,AGENCY,0.135
12/09/2022,CUS12243282436,36,2000,USD,WEB PAGE,0.195
12/09/2022,CUS33656297460,60,140000,USD,AGENCY,0.165
12/09/2022,CUS45511335760,60,3000,USD,WEB PAGE,0.205
12/09/2022,CUS72970683760,60,32000,USD,WEB PAGE,0.295
12/09/2022,CUS78665337236,36,3000,USD,WEB PAGE,0.345
12/09/2022,CUS47778942724,24,2000,USD,WEB PAGE,0.185
12/09/2022,CUS18705664560,60,40432.09,USD,AGENCY,0.159
12/09/2022,CUS86191932360,60,52000,USD,WEB PAGE,0.165
12/09/2022,CUS64538180336,36,50800,USD,WEB PAGE,0.235
12/09/2022,CUS36388741560,60,63000,USD,WEB PAGE,0.125
12/09/2022,CUS85345805660,60,40000,USD,WEB PAGE,0.135
12/09/2022,CUS41233583660,60,30000,USD,WEB PAGE,0.235
12/09/2022,CUS12965446260,60,12320,USD,WEB PAGE,0.135
12/09/2022,CUS33073274048,48,9866,USD,WEB PAGE,0.245
12/09/2022,CUS64415272248,48,60000,USD,WEB PAGE,0.135
12/09/2022,CUS22315347036,36,40000,USD,AGENCY,0.2
12/09/2022,CUS14972250860,60,28000,USD,WEB PAGE,0.165
12/09/2022,CUS30796625736,36,2500,USD,WEB PAGE,0.18
12/09/2022,CUS37724480148,48,3300,USD,WEB PAGE,0.33
12/09/2022,CUS86802276724,24,7000,USD,WEB PAGE,0.36
12/09/2022,CUS29336861060,60,20000,USD,WEB PAGE,0.2
12/09/2022,CUS66782867136,36,138400,USD,WEB PAGE,0.16
12/09/2022,CUS88633601548,48,16500,USD,WEB PAGE,0.145
12/09/2022,CUS78562438648,48,6000,USD,WEB PAGE,0.165
12/09/2022,CUS28598901560,60,29300,USD,WEB PAGE,0.169
12/09/2022,CUS85331319060,60,40000,USD,WEB PAGE,0.165
12/09/2022,CUS46799438636,36,20300,USD,WEB PAGE,0.145
12/09/2022,CUS70315491060,60,19400,USD,WEB PAGE,0.205
12/09/2022,CUS33843797836,36,43800,USD,AGENCY,0.165
12/09/2022,CUS97959492660,60,60000,USD,WEB PAGE,0.155
12/09/2022,CUS24298197324,24,40000,USD,AGENCY,0.285
12/09/2022,CUS37018534248,48,36000,USD,AGENCY,0.175
12/09/2022,CUS30569367448,48,50000,USD,WEB PAGE,0.22
12/09/2022,CUS60232032460,60,140000,USD,AGENCY,0.14
12/09/2022,CUS96140956860,60,74800,USD,AGENCY,0.149
12/09/2022,CUS65541444212,12,6000,USD,AGENCY,0.22
12/09/2022,CUS75558599660,60,5500,USD,WEB PAGE,0.19
12/09/2022,CUS60667494260,60,3300,USD,WEB PAGE,0.2
12/09/2022,CUS96960503924,24,22000,USD,WEB PAGE,0.235
12/09/2022,CUS70062603424,24,12300,USD,WEB PAGE,0.385
12/09/2022,CUS40787067460,60,53537.21,USD,WEB PAGE,0.175
12/09/2022,CUS63105705224,24,6000,USD,WEB PAGE,0.275
12/09/2022,CUS72107142124,24,10000,USD,AGENCY,0.245
12/09/2022,CUS15979685448,48,61611.38,USD,AGENCY,0.195
12/09/2022,CUS92881732036,36,47500,USD,CONTACT CENTER,0.145
12/09/2022,CUS28594171348,48,70000,USD,WEB PAGE,0.195
12/09/2022,CUS58524376260,60,25000,USD,WEB PAGE,0.155
12/09/2022,CUS38141356560,60,60800,USD,WEB PAGE,0.105
12/09/2022,CUS43056943960,60,10000,USD,WEB PAGE,0.155
12/09/2022,CUS31733012024,24,19700,USD,WEB PAGE,0.37
12/09/2022,CUS59615905324,24,7000,USD,WEB PAGE,0.235
12/09/2022,CUS70177603624,24,17312.76,USD,WEB PAGE,0.155
12/09/2022,CUS38872034636,36,17500,USD,AGENCY,0.195
12/09/2022,CUS42644873248,48,50000,USD,WEB PAGE,0.135
12/09/2022,CUS73845789824,24,18257,USD,WEB PAGE,0.125
12/09/2022,CUS41428998160,60,21000,USD,WEB PAGE,0.19
12/09/2022,CUS34625104724,24,16140,USD,WEB PAGE,0.155
12/09/2022,CUS86852630348,48,100000,USD,WEB PAGE,0.15
12/09/2022,CUS80943226836,36,100000,USD,AGENCY,0.225
12/09/2022,CUS73891100860,60,36580,USD,WEB PAGE,0.159
12/09/2022,CUS98432540548,48,9400,USD,WEB PAGE,0.19
12/09/2022,CUS42135082512,12,20000,USD,WEB PAGE,0.139
12/09/2022,CUS73752267960,60,10000,USD,WEB PAGE,0.175
12/09/2022,CUS15193253160,60,19300,USD,AGENCY,0.105
12/09/2022,CUS35009516524,24,10000,USD,WEB PAGE,0.15
12/09/2022,CUS50394254460,60,65460,USD,AGENCY,0.165
12/09/2022,CUS45187153324,24,30684,USD,WEB PAGE,0.19
12/09/2022,CUS70120418448,48,65000,USD,WEB PAGE,0.105
12/09/2022,CUS91930208260,60,41586,USD,WEB PAGE,0.149
12/09/2022,CUS43942249548,48,15000,USD,AGENCY,0.135
12/09/2022,CUS55022494448,48,12000,USD,WEB PAGE,0.19
12/09/2022,CUS87666219824,24,57000,USD,WEB PAGE,0.335
12/09/2022,CUS32044560560,60,43000,USD,AGENCY,0.195
12/09/2022,CUS34828542024,24,7382,USD,WEB PAGE,0.105
12/09/2022,CUS91475820236,36,30000,USD,WEB PAGE,0.129
12/09/2022,CUS98767236536,36,15000,USD,WEB PAGE,0.135
12/09/2022,CUS94459789960,60,18000,USD,WEB PAGE,0.135
12/09/2022,CUS34348469336,36,10000,USD,WEB PAGE,0.175
12/09/2022,CUS16161877048,48,30000,USD,WEB PAGE,0.135
12/09/2022,CUS12775474148,48,7000,USD,WEB PAGE,0.24
12/09/2022,CUS79584148048,48,21599,USD,WEB PAGE,0.225
12/09/2022,CUS38265357448,48,37800,USD,WEB PAGE,0.145
12/09/2022,CUS20511279048,48,48700,USD,CONTACT CENTER,0.149
12/09/2022,CUS30201500648,48,48700,USD,CONTACT CENTER,0.149
